[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 18:59:06] psnet5 INFO: Train: [1/3][570/1000]	T 0.949 (1.003)	DT 0.000 (0.000)	loss 1.025 (1.242)
[08/29 18:59:17] psnet5 INFO: Train: [1/3][580/1000]	T 0.915 (1.003)	DT 0.000 (0.000)	loss 1.542 (1.243)
[08/29 18:59:27] psnet5 INFO: Train: [1/3][590/1000]	T 1.103 (1.004)	DT 0.000 (0.000)	loss 1.109 (1.241)
[08/29 18:59:37] psnet5 INFO: Train: [1/3][600/1000]	T 1.036 (1.004)	DT 0.000 (0.000)	loss 0.713 (1.235)
[08/29 18:59:47] psnet5 INFO: Train: [1/3][610/1000]	T 1.060 (1.003)	DT 0.000 (0.000)	loss 1.221 (1.231)
[08/29 18:59:57] psnet5 INFO: Train: [1/3][620/1000]	T 1.220 (1.004)	DT 0.000 (0.000)	loss 1.713 (1.236)
[08/29 19:00:07] psnet5 INFO: Train: [1/3][630/1000]	T 0.989 (1.004)	DT 0.000 (0.000)	loss 0.816 (1.232)
[08/29 19:00:17] psnet5 INFO: Train: [1/3][640/1000]	T 1.101 (1.004)	DT 0.000 (0.000)	loss 0.457 (1.229)
[08/29 19:00:27] psnet5 INFO: Train: [1/3][650/1000]	T 0.965 (1.004)	DT 0.000 (0.000)	loss 1.004 (1.227)
[08/29 19:00:38] psnet5 INFO: Train: [1/3][660/1000]	T 0.923 (1.005)	DT 0.000 (0.000)	loss 1.210 (1.225)
[08/29 19:00:48] psnet5 INFO: Train: [1/3][670/1000]	T 0.840 (1.005)	DT 0.000 (0.000)	loss 1.239 (1.224)
[08/29 19:00:57] psnet5 INFO: Train: [1/3][680/1000]	T 0.902 (1.004)	DT 0.000 (0.000)	loss 1.440 (1.221)
[08/29 19:01:07] psnet5 INFO: Train: [1/3][690/1000]	T 1.167 (1.004)	DT 0.000 (0.000)	loss 0.946 (1.221)
